0 giờ 2 phút	lý tuấn kiệt	0-gio-2-phut-ly-tuan-kiet
12 giờ khuya	bảo đinh	12-gio-khuya-bao-dinh
12 tháng cô đơn	le thao lee	12-thang-co-don-le-thao-lee
12 tháng đợi em	kata lion boy	12-thang-doi-em-kata-lion-boy
12/02	phạm hồng phước	12-02-pham-hong-phuoc
123 chia đôi lối về	chánh mạnh	123-chia-doi-loi-ve-chanh-manh
123 chia đôi lối về	huỳnh nhật long	123-chia-doi-loi-ve-huynh-nhat-long
123 chia tay	minh hằng	123-chia-tay-minh-hang
123 dzô	duy thanh thế anh	123-dzo-duy-thanh-the-anh
123 em yêu anh	trương linh đan	123-em-yeu-anh-truong-linh-dan
123 ngôi sao	sỹ luân	123-ngoi-sao-sy-luan
1234	chi dân	1234-chi-dan
1234 (cover)	tấn văn mdp	1234-cover-tan-van-mdp
1234 lên	dương trường giang long luong vũ quốc nhật	1234-len-vu-quoc-nhat-long-luong-duong-truong-giang
12a5 thpt số 2 bảo thắng lào cai kỷ niệm xa	dukytnt lee	12a5-thpt-so-2-bao-thang-lao-cai-ky-niem-xa-dukytnt-lee
12h	nguyễn đức cường	12h-nguyen-duc-cuong
12h	riêu hải nam	12h-rieu-hai-nam
13 miền sông nước	kim anh nguyên hân	13-mien-song-nuoc-nguyen-han-kim-anh
14/2	lil'bi t0n	14-2-t0n-lil-bi
16 mắt nai	jimmi jc nguyễn	16-mat-nai-jimmi-jc-nguyen
1605	small fire	1605-small-fire
17 của tui	bảo jen phan ann sikboi	17-cua-tui-sikboi-bao-jen-phan-ann
17+	lux saa	17-saa-lux
18 vào đời	miu lê	18-vao-doi-miu-le
19 rồi	khởi my	19-roi-khoi-my
1992	tony tk	1992-tony-tk
1hit	vickybraak	1hit-vickybraak
1love	daddy lee ruzz cao	1love-ruzz-cao-daddy-lee
2 + 1 = 0	kiwi ngô mai trang nguyễn phi hùng quang vinh	2-1-0-kiwi-ngo-mai-trang-quang-vinh-nguyen-phi-hung
2 + 1 = 0	quang vinh	2-1-0-quang-vinh
2 giờ sáng	mew amazing	2-gio-sang-mew-amazing
2 hoàn cảnh 2 trái tim	jkanz kimjoonshjn mtk	2-hoan-canh-2-trai-tim-mtk-kimjoonshjn-jkanz
2 ngã rẽ	bun eddykey mãn anh	2-nga-re-bun-eddykey-man-anh
2 nice	công hòa gọi là phúc pay	2-nice-pay-goi-la-phuc-cong-hoa
2 thành phố	kiên trang	2-thanh-pho-kien-trang
2 thế giới	karik	2-the-gioi-karik
2 trái tim 1 điểm tựa	emceebee zicky	2-trai-tim-1-diem-tua-emceebee-zicky
2 vì 1	drum7 mco	2-vi-1-drum7-mco
2-1 = 0	huyền thoại	2-1-0-huyen-thoai
2+1=0	kiwi ngô mai trang	2-1-0-kiwi-ngo-mai-trang
2+3=5 (c.a.o remix)	c . a . o	2-3-5-c-a-o-remix-c-a-o
20	thanh duy	20-thanh-duy
20 - 40	đức hiếu đức vinh	20-40-duc-vinh-duc-hieu
20 mùa nắng lạ	cẩm vân	20-mua-nang-la-cam-van
20 mùa nắng lạ	vũ khanh	20-mua-nang-la-vu-khanh
20 năm rồi	phi bằng	20-nam-roi-phi-bang
20 năm tình cũ	thế sơn	20-nam-tinh-cu-the-son
20 năm tình đẹp mùa chôm chôm	phi nhung	20-nam-tinh-dep-mua-chom-chom-phi-nhung
20 năm tình vẫn đẹp	mạnh quỳnh	20-nam-tinh-van-dep-manh-quynh
20 tháng 1	datmaniac	20-thang-1-datmaniac
20/40	hàn thái tú	20-40-han-thai-tu
21 ngày yêu em	emma	21-ngay-yeu-em-emma
21 ngày yêu em	tuấn trần	21-ngay-yeu-em-tuan-tran
22	trang	22-trang
24 giờ 7 ngày	hồ ngọc hà	24-gio-7-ngay-ho-ngoc-ha
24 giờ 7 ngày	jason việt tiến	24-gio-7-ngay-jason-viet-tien
24 giờ 7 ngày (acoustic version)	jason việt tiến	24-gio-7-ngay-acoustic-version-jason-viet-tien
24 giờ 7 ngày (dance version)	jason việt tiến	24-gio-7-ngay-dance-version-jason-viet-tien
24 giờ 7 ngày (glee vietnam ost - tập 5)	the glee cast vietnam	24-gio-7-ngay-glee-vietnam-ost-tap-5-the-glee-cast-vietnam
24 giờ 7 ngày (live)	văn mai hương	24-gio-7-ngay-live-van-mai-huong
24 giờ nhớ em	lâm chấn khang	24-gio-nho-em-lam-chan-khang
24 giờ phép	khánh lâm	24-gio-phep-khanh-lam
24 giờ phép	nguyễn thành an	24-gio-phep-thanh-an
24h	lyly magazine	24h-lyly-magazine
24h anh nhớ em	tiay	24h-anh-nho-em-tiay
24h nhớ em	lâm chấn khang	24h-nho-em-lam-chan-khang
24h yêu	mia	24h-yeu-mia
24h yêu acoustic version	mia	24h-yeu-acoustic-version-mia
25	sol bass táo young h	25-tao-sol-bass-young-h
25 (masew mix)	masew táo	25-masew-mix-tao-masew
25 giờ	huỳnh anh khang	25-gio-huynh-anh-khang
2504 (đợi em lâu rồi)	mtk trần phát đạt	2504-doi-em-lau-roi-tran-phat-dat-mtk
27 âm lịch	suzie	27-am-lich-suzie
29	băng di đại nhân	29-dai-nhan-bang-di
2am	bigdaddy justatee	2am-justatee-bigdaddy
2am (fawng daw remix)	bigdaddy justatee	2am-fawng-daw-remix-justatee-bigdaddy
2h đêm	eddykey mr.shyn	2h-dem-mr-shyn-eddykey
3 đi (đi. đi. đi)	nhiều nghệ sĩ	3-di-di-di-di-k-icm-t-icm-kelsey-zickky
3 đi (đi. đi. đi) (tad sound mix)	tad sound	3-di-di-di-di-tad-sound-mix-tad-sound
3 điều làm em hạnh phúc	vương anh tú	3-dieu-lam-em-hanh-phuc-vuong-anh-tu
3 điều ước	đoàn thanh sơn	3-dieu-uoc-doan-thanh-son
3 năm	gia ly trương ỹ vân	3-nam-truong-y-van-gia-ly
3 năm 1 kết thúc	kaydy lill shin	3-nam-1-ket-thuc-lill-shin-lil-shine-kaydy
3 năm vô vọng	lill shin	3-nam-vo-vong-lill-shin
3 năm xa cách	nhiều nghệ sĩ	3-nam-xa-cach-kenlly-tk-diby-quan-dao-annie
3 ngày 2 đêm	eddykey mr.can	3-ngay-2-dem-lil-shine-eddykey-mr-can
3 phút	marzuz onionn	3-phut-onionn-marzuz
3 tháng	bãoz	3-thang-baoz
3 thằng bạn	hit the lights	3-thang-ban-the-light
3 thằng bạn	karik	3-thang-ban-karik
3-1=2	aky mun	3-1-2-aky-mun
3,14	nhiều nghệ sĩ	3-14-yanbi-mr-t-bueno-bigdaddy
30 giây	lâm onbi	30-giay-lam-onbi
30 ngày yêu	đông nhi	30-ngay-yeu-dong-nhi
30 tết	kent huỳnh	30-tet-kent-huynh
365 ngày không em	lữ bình swainz tuấn nguyễn	365-ngay-khong-em-lu-binh-swainz-tuan-nguyen
365 ngày yêu	hồ minh phúc	365-ngay-yeu-ho-minh-phuc
365 ngày yêu (remix)	lương gia huy	365-ngay-yeu-remix-luong-gia-huy
365000	ngũ cung	365000-ngu-cung
37	diệu huyền rieki	37-rieki-dieu-huyen
4 giờ sáng	nguyễn trần trung quân	4-gio-sang-nguyen-tran-trung-quan
4 phút 20 giây (về nhà với anh đi)	hà anh	4-phut-20-giay-ve-nha-voi-anh-di-ha-anh
4 phút 44 giây	jan saker mr. a	4-phut-44-giay-jan-saker-mr-a
4000 năm rực rỡ gấm hoa	hải nguyên	4000-nam-ruc-ro-gam-hoa-hai-nguyen
419	dick osad	419-osad-dick
5 cụm núi ngũ hành	vinh tuấn	5-cum-nui-ngu-hanh-vinh-tuan
5 cụm núi quê hương	mộng thi	5-cum-nui-que-huong-mong-thi
5 ông mù xem voi	tốp ca	5-ong-mu-xem-voi-top-ca
5 phút nữa thôi remix	yuki huy nam	5-phut-nua-thoi-remix-yuki-huy-nam
5 vạn 7 ngàn 600 lần nhớ em	thương	5-van-7-ngan-600-lan-nho-em-thuong
5-4-3 giao thừa (tết quẩy tung nóc nhà)	ryan duy hùng	5-4-3-giao-thua-tet-quay-tung-noc-nha-ryan-duy-hung
50% khi yêu	hương ngọc vân	50-khi-yeu-huong-ngoc-van
50% khi yêu	nhiều nghệ sĩ	50-khi-yeu-kenlly-tk-lee-yang-ry2c-nanty
500 năm ruộng dâu biển cạn	lee phú quý	500-nam-ruong-dau-bien-can-lee-phu-quy
5000 ngày	gạt tàn đầy	5000-ngay-gat-tan-day
5am	kai đinh	5am-kai-dinh
5h06	clow daeron flepy	5h06-clow-flepy-daeron
5pm	phutoro	5pm-phutoro
6 năm	hoàng kỳ nam	6-nam-hoang-ky-nam
60 năm cuộc đời	đông nghi	60-nam-cuoc-doi-dong-nghi-9x
60 năm cuộc đời	hoa trần	60-nam-cuoc-doi-hoa-tran
60 năm cuộc đời	lê hiếu phương vy	60-nam-cuoc-doi-le-hieu-phuong-vy
60 năm cuộc đời	lưu việt hùng	60-nam-cuoc-doi-luu-viet-hung
60 năm cuộc đời	minh thảo phúc béo	60-nam-cuoc-doi-phuc-beo-minh-thao
60 năm cuộc đời	nam cường	60-nam-cuoc-doi-nam-cuong
60 năm cuộc đời	nhật nguyệt band	60-nam-cuoc-doi-nhat-nguyet-band
60 năm cuộc đời (cô ba sài gòn ost)	phương vy	60-nam-cuoc-doi-co-ba-sai-gon-ost-phuong-vy
60 năm cuộc đời (live)	lê minh mẫn	60-nam-cuoc-doi-live-le-minh-man
60 năm cuộc đời (remix)	kiến thành	60-nam-cuoc-doi-remix-kien-thanh
60 năm cuộc đời (remix)	lương gia huy	60-nam-cuoc-doi-remix-luong-gia-huy
60 năm cuộc đới (remix)	the men	60-nam-cuoc-doi-remix-the-men
60 năm yêu mãi nhé	mạnh quân tân hy khánh	60-nam-yeu-mai-nhe-tan-hy-khanh-manh-quan
60 năm… yêu mãi nhé	mạnh quân tân hy khánh	60-nam-yeu-mai-nhe-manh-quan-tan-hy-khanh
6pm	tain tuệ nhy tyrano	6pm-tain-tue-nhy-tyrano
7 ly rượu	nguyễn đình thanh tâm	7-ly-ruou-nguyen-dinh-thanh-tam
7 ly rượu	phạm toàn thắng	7-ly-ruou-pham-toan-thang
7 năm	huy nam (a#)	7-nam-huy-nam-a
7 năm ( se7en years)	j.lee	7-nam-se7en-years-j-lee
7 ngày đợi mong	dương hồ hải	7-ngay-doi-mong-duong-ho-hai
7 tỷ người (piano version)	acy xuân tài lynk lee	7-ty-nguoi-piano-version-acy-xuan-tai-lynk-lee
70 năm 1 chặng đường	ngọc sáng	70-nam-1-chang-duong-ngoc-sang
7000 đêm	nhã ca đình phước	7000-dem-dinh-phuoc-nha-ca
8 dòng yêu	nguyễn văn trung trọng phước	8-dong-yeu-nguyen-van-trung-trong-phuoc
8800 dặm yêu	như hexi	8800-dam-yeu-nhu-hexi
9 con số 1 linh hồn	hồ lệ thu	9-con-so-1-linh-hon-ho-le-thu
9 năm đâu phải 9 ngày	văn tiến luật	9-nam-dau-phai-9-ngay-van-tien-luat
9 tầng mây	ngô trác lâm	9-tang-may-ngo-trac-lam
9 tháng 10	k.na	9-thang-10-k-na
99 phần trăm	lý hào nam	99-phan-tram-ly-hao-nam
9981	lee phú quý	9981-lee-phu-quy
9981 (version 2)	nhiều nghệ sĩ	9981-version-2-lee-phu-quy-duy-rapper-han-dung-khang-nguyen
999 đóa hoa hồng	ngô phước thiện	999-doa-hoa-hong-ngo-phuoc-thien
999 đóa hoa hồng (new version)	lương gia huy	999-doa-hoa-hong-new-version-luong-gia-huy
999 đóa hoa hồng (remix)	lương gia huy	999-doa-hoa-hong-remix-luong-gia-huy
999 đóa hồng	cẩm ly	999-doa-hong-cam-ly
999 đóa hồng	đức hiếu đức vinh	999-doa-hong-duc-vinh-duc-hieu
999 đóa hồng	lâm nhật tiến	999-doa-hong-lam-nhat-tien
999 đóa hồng	lam trường	999-doa-hong-lam-truong
999 đóa hồng	lý hải	999-doa-hong-ly-hai
999 đóa hồng	minh tuyết	999-doa-hong-minh-tuyet
999 đóa hồng	nguyên sang	999-doa-hong-nguyen-sang
999 đóa hồng	quách tuấn du	999-doa-hong-quach-tuan-du
999 đóa hồng	sỹ ben	999-doa-hong-sy-ben
999 đóa hồng (remix)	huỳnh nhật đông	999-doa-hong-remix-huynh-nhat-dong
999 đóa hồng (remix)	khương hùng	999-doa-hong-remix-khuong-hung
999 đóa hồng (remix)	phan ngọc luân	999-doa-hong-remix-phan-ngoc-luan
999 đóa hồng (remix)	trịnh tuấn vỹ	999-doa-hong-remix-trinh-tuan-vy
999 giọt nước mắt	khánh đơn	999-giot-nuoc-mat-khanh-don
999 hoa hồng	quách tuấn du	999-hoa-hong-quach-tuan-du
a ă â	đỗ tuyết nhi	a-a-a-do-tuyet-nhi
a bad demon - trap instrumental (prod.masew)	masew	a-bad-demon-trap-instrumental-prod-masew-masew
a better day	ngô thanh vân	a-better-day-ngo-thanh-van
a better day 2	lương gia huy	a-better-day-2-luong-gia-huy
a ha!	đại nhân	a-ha-dai-nhan
a little love	alexander tú soul club thanh bùi	a-little-love-soul-club-thanh-bui-alexander-tu
a man without love (lời của kẻ không tình yêu)	henry chúc	a-man-without-love-loi-cua-ke-khong-tinh-yeu-henry-chuc
a new day	lk	a-new-day-lk
a nhờ anh	lệ thủy thanh lam	a-nho-anh-thanh-lam-le-thuy
a night of bar	dico-gb	a-night-of-bar-dico-gb
à ơi	gia khiêm	a-oi-gia-khiem
à ơi	mtv	a-oi-mtv
à ơi	ngọt	a-oi-ngot
à ơi mẹ ru	cát tiên	a-oi-me-ru-cat-tien
a or b	don nguyễn	a-or-b-don-nguyen
à ra là thế	bùi việt hà	a-ra-la-the-bui-viet-ha
a sở cô nương	lee phú quý	a-so-co-nuong-lee-phu-quy
a sở cô nương	vũ nam tước	a-so-co-nuong-vu-nam-tuoc
à thì ra	bé thanh ngân	a-thi-ra-be-thanh-ngan
a thousand years (giọng hát việt nhí 2013)	bùi thị kiều vy lê dương quỳnh anh lương thùy mai	a-thousand-years-giong-hat-viet-nhi-2013-luong-thuy-mai-bui-thi-kieu-vy-le-duong-quynh-anh
a time for us	hoàng hải thoại	a-time-for-us-hoang-hai-thoai
a time for us	như loan	a-time-for-us-nhu-loan
a wish on christmas day	isaac thái	a-wish-on-christmas-day-isaac-thai
a xiêu	kevin sôcôla như hexi sendoh	a-xieu-nhu-hexi-kevin-socola-sendoh
a xiêu yêu xa	kevin sôcôla như hexi	a-xieu-yeu-xa-nhu-hexi-kevin-socola
a xiêu yêu xa (acoustic)	kevin sôcôla như hexi	a-xieu-yeu-xa-acoustic-nhu-hexi-kevin-socola
à! anh nhớ em!	bắc san ho	a-anh-nho-em-bac-san-ho
a.n.h	lương minh trang	a-n-h-luong-minh-trang
a.v.n cypher	avnteam	a-v-n-cypher-avnteam
a.v.n sign up	avnteam	a-v-n-sign-up-avnteam
abc	cao lê hà trang	abc-cao-le-ha-trang
abc ( ost i fine thank you, love you )	m4n band	abc-ost-i-fine-thank-you-love-you-m4n-band
about us	seachains summer vee	about-us-seachains-summer-vee
ác ma đến từ thiên đường	khang nguyễn	ac-ma-den-tu-thien-duong-khang-nguyen
ác mộng	lương thiện quân	ac-mong-luong-thien-quan
ác mộng hay ký ức	quỳnh nga	ac-mong-hay-ky-uc-quynh-nga
accapella jingle bells	oplus	accapella-jingle-bells-oplus
adaptation	am1r binz	adaptation-binz-am1r
addiction /중독 (cover)	anh toàn nguyễn trần ngọc bảo	addiction-cover-tran-ngoc-bao-anh-toan-nguyen
agmong (ác mộng)	huỳnh anh khang	agmong-ac-mong-huynh-anh-khang
ai ai ai	khởi my	ai-ai-ai-la-thang-huy-nam-huy-khanh-khoi-my
ai ai ai	la thăng new	ai-ai-ai-la-thang-new
ai ai ai	mây trắng	ai-ai-ai-may-trang
ai ai ai (đã khiến em như vậy)	lk	ai-ai-ai-da-khien-em-nhu-vay-lk
ai ai ai đã khiến em như vậy	lk	ai-ai-ai-da-khien-em-nhu-vay-lk
ái ân phai tàn	luny	ai-an-phai-tan-luny
ai bằng anh	bigdaddy pb nation	ai-bang-anh-pb-nation-bigdaddy
ai bảo ăn chay là khổ	tiểu văn	ai-bao-an-chay-la-kho-tieu-van
ai biết đâu ngày mai	quách tuấn du	ai-biet-dau-ngay-mai-quach-tuan-du
ai biết ngày mai	vũ duy khánh	ai-biet-ngay-mai-vu-duy-khanh
ai buồn hơn ai	hồng gấm	ai-buon-hon-ai-hong-gam
ai cần biết	amy ponzy yaniboo	ai-can-biet-ponzy-yaniboo-amy
ai chờ ai (tropical version)	nguyễn hải yến	ai-cho-ai-tropical-version-nguyen-hai-yen
ai cho em cuộc sống	nqp	ai-cho-em-cuoc-song-nqp
ai cho tôi tình yêu	bảo hân bolero	ai-cho-toi-tinh-yeu-bao-han-bolero
ai cho tôi tình yêu	chí dũng	ai-cho-toi-tinh-yeu-chi-dung
ai cho tôi tình yêu	dạ thảo my	ai-cho-toi-tinh-yeu-da-thao-my
ai cho tôi tình yêu	đan phương	ai-cho-toi-tinh-yeu-dan-phuong
ai cho tôi tình yêu	đăng nguyên	ai-cho-toi-tinh-yeu-dang-nguyen
ai cho tôi tình yêu	dương bửu trung	ai-cho-toi-tinh-yeu-duong-buu-trung
ai cho tôi tình yêu	dương hồ hải	ai-cho-toi-tinh-yeu-duong-ho-hai
ai cho tôi tình yêu	duy quang	ai-cho-toi-tinh-yeu-duy-quang
ai cho tôi tinh yêu	giang trường	ai-cho-toi-tinh-yeu-giang-truong
ai cho tôi tình yêu	khánh duy nhã ca	ai-cho-toi-tinh-yeu-khanh-duy-nha-ca
ai cho tôi tình yêu	lâm phi quỳnh	ai-cho-toi-tinh-yeu-lam-phi-quynh
ai cho tôi tình yêu	lưu nhật hào	ai-cho-toi-tinh-yeu-luu-nhat-hao
ai cho tôi tình yêu	mai hậu	ai-cho-toi-tinh-yeu-mai-hau
ai cho tôi tình yêu	nguyễn hồng ân	ai-cho-toi-tinh-yeu-nguyen-hong-an
ai cho tôi tình yêu	nguyễn ngọc sơn	ai-cho-toi-tinh-yeu-nguyen-ngoc-son
ai cho tôi tình yêu	nhã ca tống hạo nhiên	ai-cho-toi-tinh-yeu-tong-hao-nhien-nha-ca
ai cho tôi tình yêu	nhật quang	ai-cho-toi-tinh-yeu-nhat-quang
ai cho tôi tình yêu	như phượng	ai-cho-toi-tinh-yeu-nhu-phuong
ai cho tôi tình yêu	randy	ai-cho-toi-tinh-yeu-randy
ai cho tôi tình yêu	tuấn quang	ai-cho-toi-tinh-yeu-tuan-quang
ai cho tôi tình yêu	tuấn tú	ai-cho-toi-tinh-yeu-tuan-tu
ai cho tôi tình yêu	tùng anh	ai-cho-toi-tinh-yeu-tung-anh
ai cho tôi tình yêu	tường nguyên	ai-cho-toi-tinh-yeu-tuong-nguyen
ai cho tôi tình yêu (new version)	chubi trần	ai-cho-toi-tinh-yeu-new-version-chubi-tran
ai cô đơn giơ tay	hoàng ly ngọc hùng (g band)	ai-co-don-gio-tay-hoang-ly-ngoc-hung-g-band
ai còn chờ ai	anh khang	ai-con-cho-ai-anh-khang
ai còn chờ ai	ngô đức huy	ai-con-cho-ai-ngo-duc-huy
ai còn chờ ai (cover)	thế phương vbk	ai-con-cho-ai-cover-the-phuong-vbk
ai của riêng ai, đâu còn quan trọng	đinh kiến phong	ai-cua-rieng-ai-dau-con-quan-trong-dinh-kien-phong
ai cũng cần có tết	nhiều nghệ sĩ	ai-cung-can-co-tet-nguyen-hai-phong-phuc-bo-ha-le-hoang-rapper-jc-hung-eszi-tronie-ngo
ai cũng có cô đơn	thiên dũng	ai-cung-co-co-don-thien-dung
ai cũng có lúc sai	bằng cường	ai-cung-co-luc-sai-bang-cuong
ai cũng có nỗi buồn	khánh đơn	ai-cung-co-noi-buon-khanh-don
ai cũng có ước mơ	văn mai hương	ai-cung-co-uoc-mo-van-mai-huong
ai cũng đẹp	phi bằng	ai-cung-dep-phi-bang
ai cũng hối tiếc	la hoàng phúc	ai-cung-hoi-tiec-la-hoang-phuc
ai cũng phải học cách quên đi một người	trần hoàng anh	ai-cung-phai-hoc-cach-quen-di-mot-nguoi-tran-hoang-anh
ai cũng phải lớn	sĩ hùng jiki	ai-cung-phai-lon-si-hung-jiki
ai cũng sẽ lớn lên	cá hồi hoang	ai-cung-se-lon-len-ca-hoi-hoang
ai đã cướp mất mẹ tôi	phong đạt	ai-da-cuop-mat-me-toi-phong-dat
ai đã cướp nụ hôn của anh	cao thái sơn	ai-da-cuop-nu-hon-cua-anh-cao-thai-son
ai đã muốn chia tay	bảo kun huy nam (a#)	ai-da-muon-chia-tay-huy-nam-a-bao-kun
ai đã từng	hồng dương	ai-da-tung-hong-duong
ai đã xóa	jan saker	ai-da-xoa-jan-saker
ai đằng sau lưng em	f. hương tràm trịnh thăng bình	ai-dang-sau-lung-em-trinh-thang-binh-huong-tram-f
ai đâu ngờ	bảo vy	ai-dau-ngo-bao-vy
ai dậy sớm	bé kim hồng	ai-day-som-be-kim-hong
ai de chu tiyan	ethan thoi	ai-de-chu-tiyan-ethan-thoi
ai đẹp nhất đêm nay	hương giang	ai-dep-nhat-dem-nay-huong-giang
ai đi ngoài sương gió	minh thảo (bolero)	ai-di-ngoai-suong-gio-minh-thao-bolero
ai đi ngoài sương gió	quang linh	ai-di-ngoai-suong-gio-quang-linh
ai đi ngoài sương gió	trang mỹ dung	ai-di-ngoai-suong-gio-trang-my-dung
ai đó đêm nay (get on the floor)	365daband	ai-do-dem-nay-get-on-the-floor-365daband
ai đó từng hứa	khánh đơn	ai-do-tung-hua-khanh-don
ai đợi mình được mãi	thanh hưng	ai-doi-minh-duoc-mai-thanh-hung
ai đưa em về	đức minh	ai-dua-em-ve-duc-minh
ai đưa em về	dương cầm dương hoàng yến	ai-dua-em-ve-duong-hoang-yen-duong-cam
ai đưa em về	hoàng hiệp	ai-dua-em-ve-hoang-hiep
ai đưa em về	hương lan	ai-dua-em-ve-huong-lan
ai đưa em về	nancy tâm huy	ai-dua-em-ve-nancy-tam-huy
ai đưa em về	phương thủy	ai-dua-em-ve-phuong-thuy
ai đúng ai sai	lương thế minh	ai-dung-ai-sai-luong-the-minh
ai đúng ai sai	yuki huy nam	ai-dung-ai-sai-yuki-huy-nam
ai giàu ba họ ai khó ba đời	huỳnh nhật huy	ai-giau-ba-ho-ai-kho-ba-doi-huynh-nhat-huy
ai giàu ba họ ai khó ba đời	long hồ	ai-giau-ba-ho-ai-kho-ba-doi-long-ho
ai gieo thương nhớ	quách tuấn du	ai-gieo-thuong-nho-quach-tuan-du
ai hát lý tình quê	nguyễn nhật ánh	ai-hat-ly-tinh-que-nguyen-nhat-anh
ai hiểu cho anh	nam du	ai-hieu-cho-anh-nam-du
ai hiểu cho em	saka trương tuyền	ai-hieu-cho-em-saka-truong-tuyen
ai hiểu lòng lãng tử	ngô viết trung	ai-hieu-long-lang-tu-viet-trung
ai khâu nước mắt	hoàng đạo	ai-khau-nuoc-mat-hoang-dao
ai khổ vì ai	bảo ngọc	ai-kho-vi-ai-bao-ngoc
ai khổ vì ai	bảo vân	ai-kho-vi-ai-bao-van
ai khổ vì ai	chu hồng thúy	ai-kho-vi-ai-chu-hong-thuy
ai khổ vì ai	dạ thảo my	ai-kho-vi-ai-da-thao-my
ai khổ vì ai	dj gin rhymastic soobin hoàng sơn	ai-kho-vi-ai-soobin-hoang-son-dj-gin-rhymastic
ai khổ vì ai	dương thiện lâm	ai-kho-vi-ai-duong-thien-lam
